date,id,total_current_asset,total_current_liab
2000-03-31,27465,0.0,0.0
2000-06-30,27465,0.0,0.0
2000-09-30,27465,0.0,0.0
2000-12-31,27465,0.0,0.0
2001-03-31,27465,0.0,0.0
2001-06-30,27465,0.0,0.0
2001-09-30,27465,0.0,0.0
2001-12-31,27465,0.0,0.0
2002-03-31,27465,0.0,0.0
2002-06-30,27465,0.0,0.0
2002-09-30,27465,0.0,0.0
2002-12-31,27465,0.0,0.0
2003-03-31,27465,0.0,0.0
2003-06-30,27465,0.0,0.0
2003-09-30,27465,0.0,0.0
2003-12-31,27465,0.0,0.0
2004-03-31,27465,0.0,0.0
2004-06-30,27465,0.0,0.0
2004-09-30,27465,0.0,0.0
2004-12-31,27465,0.0,0.0
2005-03-31,27465,0.0,0.0
2005-06-30,27465,0.0,0.0
2005-09-30,27465,0.0,0.0
2005-12-31,27465,0.0,0.0
2006-03-31,27465,0.0,0.0
2006-06-30,27465,0.0,0.0
2006-09-30,27465,0.0,0.0
2006-12-31,27465,0.0,0.0
2007-03-31,27465,0.0,0.0
2007-06-30,27465,0.0,0.0
2007-09-30,27465,0.0,0.0
2007-12-31,27465,0.0,0.0
2008-03-31,27465,0.0,0.0
2008-06-30,27465,0.0,0.0
2008-09-30,27465,0.0,0.0
2008-12-31,27465,0.0,0.0
2009-03-31,27465,0.0,0.0
2009-06-30,27465,0.0,0.0
2009-09-30,27465,0.0,0.0
2009-12-31,27465,0.0,0.0
2010-03-31,27465,0.0,0.0
2010-06-30,27465,0.0,0.0
2010-09-30,27465,0.0,0.0
2010-12-31,27465,0.0,0.0
2011-03-31,27465,0.0,0.0
2011-06-30,27465,0.0,0.0
2011-09-30,27465,0.0,0.0
2011-12-31,27465,0.0,0.0
2012-03-31,27465,0.0,0.0
2012-06-30,27465,0.0,0.0
2012-09-30,27465,0.0,0.0
2012-12-31,27465,0.0,0.0
2013-03-31,27465,0.0,0.0
2013-06-30,27465,0.0,0.0
2013-09-30,27465,0.0,0.0
2013-12-31,27465,0.0,0.0
2014-03-31,27465,0.0,0.0
2014-06-30,27465,0.0,0.0
2014-09-30,27465,0.0,0.0
2014-12-31,27465,0.0,0.0
2015-03-31,27465,0.0,0.0
2015-06-30,27465,0.0,0.0
2015-09-30,27465,0.0,0.0
2015-12-31,27465,0.0,0.0
2016-03-31,27465,0.0,0.0
2016-06-30,27465,110767.0,89408.0
2016-09-30,27465,103515.0,89188.0
2016-12-31,27465,108461.0,90281.0
2017-03-31,27465,113228.0,91304.0
2017-06-30,27465,113539.0,94299.0
2017-09-30,27465,112732.0,94352.0
2017-12-31,27465,115902.0,94600.0
2018-03-31,27465,123264.0,99878.0
2018-06-30,27465,115025.0,94861.0
2018-09-30,27465,114843.0,94750.0
2018-12-31,27465,114649.0,95569.0
2019-03-31,27465,121195.0,99237.0
2019-06-30,27465,118351.0,98334.0
2019-09-30,27465,115754.0,99087.0
2019-12-31,27465,114047.0,98132.0
2020-03-31,27465,124276.0,94494.0
2020-06-30,27465,124111.0,92780.0
2020-09-30,27465,111765.0,93159.0
2020-12-31,27465,116744.0,97192.0
2021-03-31,27465,113932.0,94249.0
2021-06-30,27465,101275.0,83474.0
2021-09-30,27465,106968.0,89033.0
2021-12-31,27465,108996.0,90727.0
2022-03-31,27465,106142.0,90352.0
2022-06-30,27465,100469.0,86452.0
2022-09-30,27465,108088.0,90167.0
2022-12-31,27465,116476.0,96866.0
2023-03-31,27465,115123.0,95905.0
2023-06-30,27465,121712.0,101015.0
2000-03-31,42601,1270.95,567.165
2000-06-30,42601,1166.64,607.623
